Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
118,101,48,101,,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2697v4 18C 2.3GHz, Infiniband FDR",Automotive,HPE,United States,2016,Industry,39744,,1061,1463,,,,1325,Derived,1,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,18,Intel Xeon E5 (Broadwell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,North America,Americas
119,,49,119,,"Lenovo x3950, Intel Xeon E7-8860v4 18C 2.2GHz, 10G Ethernet",Service Provider T,Lenovo,China,2017,Industry,51840,,1060,1825,2146560,,,1080,Derived,1,Cluster,Intel Xeon E7-8860v4 18C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,18,Intel Xeon E7 (Broadwell),Lenovo x3950,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
120,102,44,46,QB-2,"Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Louisiana Optical Network Initiative,Dell,United States,2014,Academic,23040,13440,1052,1474,1799168,,,500,Submitted,2,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Redhat Enterprise Linux 6.4,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),Dell C8220X Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas
121,,49,121,Hellfire,"SGI ICE XA, Xeon E5-2699v4  22C 2.2GHz, Infiniband EDR",US Army Research Laboratory (ARL),HPE,United States,2017,Research,33088,,1051,1165,3649920,,,433,Submitted,2,Cluster,Xeon E5-2699v4  22C 2.2GHz,Intel Broadwell,2200,RHEL 7.2,Linux,None,22,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,Americas
122,103,36,6,Tera-100,Bull bullx super-node S6010/S6030,Commissariat a l'Energie Atomique (CEA),Bull,France,2010,Research,138368,,1050,1255,4926336,,,4590,Submitted,0,Cluster,Xeon X7560 8C 2.26GHz,Intel Nehalem,2260,Linux,Linux,None,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010/S6030,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
123,104,39,18,Oakleaf-FX,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Information Technology Center, The University of Tokyo",Fujitsu,Japan,2012,Academic,76800,,1043,1135,4058880,,57,1177,Submitted,1,Cluster,SPARC64 IXfx 16C 1.85GHz,Sparc,1848,Linux,Linux,None,16,SPARC64 IXfx,PRIMEHPC FX10,Fujitsu Cluster,Custom Interconnect,Tofu interconnect,Eastern Asia,Asia
124,105,46,75,,"Lenovo ThinkServer RD650, Xeon E5-2650v3 10C 2GHz, 10G Ethernet",Internet Service (B),Lenovo,China,2015,Industry,100000,,1038,3200,6000000,,,3750,Derived,0,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
125,106,48,106,TX-Green,"S7200AP Cluster, Intel Xeon Phi 7210 64C 1.3GHz, Intel Omni-Path",MIT/Lincoln Laboratory,Dell,United States,2016,Academic,41472,,1033,1725,3943968,,,292,Derived,4,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300,CentOS,Linux,None,64,Intel Xeon Phi,Intel S7200AP Cluster,Intel Cluster,Omnipath,Intel Omni-Path,North America,Americas
126,107,45,66,Taurus,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR","TU Dresden, ZIH",Bull,Germany,2015,Academic,34656,,1030,1386,2772480,,,582,Submitted,2,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
127,161,47,121,Lengau,"PowerEdge C6320, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Centre for High Performance Computing,Dell,South Africa,2016,Academic,32856,,1029,1367,3105408,,,685,Submitted,2,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),PowerEdge C6320,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,Southern Africa,Africa
128,108,42,36,QUARTETTO,"HA8000-tc HT210/PRIMERGY CX400 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, NVIDIA K20/K20x, Xeon Phi 5110P","Research Institute for Information Technology, Kyushu University",Hitachi/Fujitsu,Japan,2013,Academic,222072,157128,1018,1502,3709056,,,19431,Derived,0,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Redhat Enterprise Linux 6,Linux,"NVIDIA K20/K20x, Xeon Phi 5110P",8,Intel Xeon E5 (SandyBridge),HA8000-tc HT210/PRIMERGY CX400 Cluster,Quartetto Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
129,109,46,78,Lonestar 5,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ",Texas Advanced Computing Center/Univ. of Texas,Cray Inc.,United States,2015,Academic,30048,,1017,1250,3092352,,,587,Derived,2,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
130,141,44,129,,"Cray XC40, Intel Xeon E5-2680v3 12C 2.5Ghz/Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Deutscher Wetterdienst,Cray Inc.,Germany,2017,Research,34560,,1014,1228,3730368,,,448,Submitted,2,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
131,110,46,79,HETMAN,"Huawei E9000 Blade Server, Xeon E5-2697v3 14C 2.6GHz, 56G Infiniband FDR",PCSS Poznan,Huawei,Poland,2015,Academic,32984,,1014,1372,2739840,,,550,Submitted,2,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),Huawei E9000 Blade Server,Huawei Cluster,Infiniband,56G Infiniband FDR,Eastern Europe,Europe
132,111,46,80,,"Lenovo ThinkServer RD650, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Service Provider T,Lenovo,China,2015,Industry,108000,,1013,3974,5692000,,,3375,Derived,0,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
133,112,48,112,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,36720,,1012,1410,,,,1224,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
134,113,48,113,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,36720,,1012,1410,,,,1224,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
135,114,45,126,Tryton,"HP ProLiant XL230a Gen9/Huawei RH1288/SOLAR 820 S5, Xeon E5-2670v3 12C 2.3GHz, Infiniband",Academic Computer Centre in Gdansk,Megatel/Action,Poland,2015,Academic,38400,,1011,1413,3482000,,,864,Derived,1,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),HP ProLiant XL230a Gen9,HP Cluster,Infiniband,Infiniband,Eastern Europe,Europe
136,115,47,93,NSCC,"PRIMERGY CX2550 M1 LC & CX2570 M1 LC, Xeon E5-2690v3 12C 2.6GHz, Infiniband EDR",National Supercomputing Centre Singapore,Fujitsu,Singapore,2016,Research,30912,,1010,1286,4180992,,,1159,Derived,1,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,12,Intel Xeon E5 (Haswell),PRIMERGY CX2550 M1 LC & CX2570 M1 LC,Fujitsu Cluster,Infiniband,Infiniband EDR,South-eastern Asia,Asia
137,116,47,94,Shoubu,"ZettaScaler-1.6, Xeon E5-2618Lv3  8C 2.3GHz, Infiniband FDR, PEZY-SCnp","Advanced Center for Computing and Communication, RIKEN",PEZY Computing / Exascaler Inc.,Japan,2015,Research,1313280,1310720,1001,1533,2293760,,,150,Submitted,7,Cluster,Xeon E5-2618Lv3  8C 2.3GHz,Intel Haswell,2300,Linux,Linux,PEZY-SCnp,8,Intel Xeon E5 (Haswell),ZettaScaler-1.6,Pezy/Exascaler Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
138,117,44,50,Discover SCU10,"Rackable Cluster, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR",NASA/Goddard Space Flight Center,HPE,United States,2014,Research,31248,,1001,1300,4095360,,,2009,Derived,0,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,SUSE Linux Enterprise Server 11,Linux,None,14,Intel Xeon E5 (Haswell),Rackable Cluster,Rackable Cluster,Infiniband,Infiniband FDR,North America,Americas
139,156,48,156,Biowulf,"HP Apollo XL1x0r, Xeon E5-2680v4 14C 2.4GHz, Infiniband FDR",National Institutes of Health (NIH),HPE,United States,2016,Government,32032,,992,1230,2926272,,,801,Derived,1,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),HP Apollo XL1x0r,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
140,118,42,121,Konrad,"Cray XC40, Intel Xeon E5-2695v2/E5-2680v3 12C 2.4/2.5GHz, Aries interconnect ",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Cray Inc.,Germany,2014,Academic,44928,,992,1426,3110399,,,878,Derived,1,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
141,119,45,70,HOKUSAI GreatWave,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","Advanced Center for Computing and Communication, RIKEN",Fujitsu,Japan,2015,Research,34560,,990,1092,1906944,,,518,Derived,2,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia
142,120,45,71,,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","Meteorological Research Institute, Japan Meteorological Agency",Fujitsu,Japan,2015,Research,34560,,990,1092,1906944,,,518,Derived,2,Cluster,SPARC64 XIfx  32C 1.98GHz,Sparc,1975,Linux,Linux,None,32,SPARC64 XIfx,Fujitsu PRIMEHPC FX100,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect 2,Eastern Asia,Asia
143,,49,143,,"Sugon TC6000, Xeon E5-2640v3 8C 2.6GHz, 10G Ethernet",Internet Service (B),Sugon,China,2017,Industry,48000,,985,1997,6340000,,,1710,Submitted,1,Cluster,Xeon E5-2640v3 8C 2.6GHz,Intel Haswell,2600,CentOS,Linux,None,8,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
144,,49,144,IPE-GPUv2,"HC2000 Cluster, Xeon E5-2650v3 10C 2.3GHz, Infiniband FDR, NVIDIA Tesla K80",IPE-HPC,Sugon,China,2017,Research,24800,20800,981,1643,1679000,,,840,Submitted,1,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,CentOS,Linux,NVIDIA Tesla K80,10,Intel Xeon E5 (Haswell),HC2000 Cluster,Sugon Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
145,122,41,28,Conte,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",Purdue University,HPE,United States,2013,Academic,77520,68400,977,1341,1793088,,,510,Submitted,2,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
146,,49,146,,"Huawei X6800 V3, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR, NVIDIA Tesla P100",Energy Company,Huawei,China,2017,Industry,34816,14336,974,1907,1705987,,,344,Submitted,3,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,NVIDIA Tesla P100,16,Intel Xeon E5 (Broadwell),Huawei X6800 V3,Huawei Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia
147,,49,147,,"Lenovo RD550, Xeon E5-2660v4 14C 2GHz, 10G Ethernet",Service Provider T,Lenovo,China,2017,Industry,79520,,972,2545,4263360,,,2130,Derived,0,Cluster,Xeon E5-2660v4 14C 2GHz,Intel Broadwell,2000,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Lenovo RD550,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
148,,49,148,AIST AI Cloud,"NEC 4U-8GPU Server, Xeon E5-2630Lv4 10C 1.8GHz, Infiniband EDR, NVIDIA Tesla P100 SXM2",National Institute of Advanced Industrial Science and Technology,NEC,Japan,2017,Research,23400,22400,961,2149,896000,,,76,Submitted,13,Cluster,Xeon E5-2630Lv4 10C 1.8GHz,Intel Broadwell,1800,CentOS,Linux,NVIDIA Tesla P100 SXM2,10,Intel Xeon E5 (Broadwell),NEC 4U-8GPU Server,NEC Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia
149,123,43,40,Spruce A,"SGI ICE X, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR",AWE,HPE,United Kingdom,2014,Research,44520,,959,997,3175200,,,855,Submitted,1,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Northern Europe,Europe
150,124,44,55,Lightning,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",Air Force Research Laboratory,Cray Inc.,United States,2014,Government,56112,,958,1212,2268840,,,1571,Derived,1,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
151,125,46,89,,"Lenovo ThinkServer RD650, Xeon E5-2660v3 10C 2.6GHz, 10G Ethernet",Service Provider T,Lenovo,China,2015,Industry,90000,,955,3744,5692000,,,3375,Derived,0,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
152,126,46,90,,"Lenovo ThinkServer RD650, Xeon E5-2660v3 10C 2.6GHz, 10G Ethernet",Service Provider T,Lenovo,China,2015,Industry,90000,,955,3744,5692000,,,3375,Derived,0,Cluster,Xeon E5-2660v3 10C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,10,Intel Xeon E5 (Haswell),Lenovo ThinkServer RD650,Lenovo ThinkServer,10G,10G Ethernet,Eastern Asia,Asia
153,,49,153,Fram,"Lenovo NeXtScale nx360M5, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR",UNINETT Sigma2 AS,Lenovo,Norway,2017,Academic,32192,,954,1082,2540000,,,905,Derived,1,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband EDR,Northern Europe,Europe
154,127,47,105,,"Cluster Platform HP DL360 Gen9, Xeon E5-2670v3 12C 2.3GHz, 10G Ethernet",Service Provider T,HPE,China,2016,Industry,41832,,952,1539,,,,1394,Derived,1,Cluster,Xeon E5-2670v3 12C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,Eastern Asia,Asia
155,,49,155,,"Sugon TC6000, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Internet Company,Sugon,China,2016,Industry,50400,,947,1935,7502000,,,1965,Submitted,0,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,CentOS,Linux,None,6,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
156,128,48,128,Eole,"Intel Cluster, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path",EDF,Bull,France,2016,Industry,29568,,943,1135,2129664,,,421,Submitted,2,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,2400,Linux,Linux,None,14,Intel Xeon E5 (Broadwell),Intel Cluster,Intel Cluster,Omnipath,Intel Omni-Path,Western Europe,Europe
157,,49,157,,"Huawei X6800 V3, Xeon E5-2683 v4  16C 2.1GHz, Infiniband EDR",China Manufacture Company B,Huawei,China,2017,Industry,32768,,938,1101,2560128,,,416,Submitted,2,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,CentOS,Linux,None,16,Intel Xeon E5 (Broadwell),Huawei X6800 V3,Huawei Cluster,Infiniband,Infiniband EDR,Eastern Asia,Asia
158,,49,158,,"Lenovo x3950, Intel Xeon E7-8860v4 18C 2.2GHz, 10G Ethernet",Service Provider T,Lenovo,China,2017,Industry,43200,,915,1521,1959552,,,900,Derived,1,Cluster,Intel Xeon E7-8860v4 18C 2.2GHz,Intel Broadwell,2200,Linux,Linux,None,18,Intel Xeon E7 (Broadwell),Lenovo x3950,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
159,,49,159,,"Sugon TC6000, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2017,Industry,50000,,915,1840,5676000,,,1235,Submitted,1,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,CentOS,Linux,None,10,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
160,130,46,93,,"Apollo 6000 XL2x0a, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",IT Provider (P),HPE,United States,2015,Industry,28800,,915,1152,,,,1590,Derived,1,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Apollo 6000 XL2x0a,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
161,131,47,108,OKEANOS,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect ","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",Cray Inc.,Poland,2016,Academic,26016,,910,1082,4070592,,,585,Derived,2,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Eastern Europe,Europe
162,,49,162,Brooks,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Shared Services Canada,Cray Inc.,Canada,2017,Government,30816,,904,1035,,,,462,Derived,2,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
163,,49,163,Hare,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Shared Services Canada,Cray Inc.,Canada,2017,Government,30816,,904,1035,,,,462,Derived,2,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
164,132,37,13,Lomonosov,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR",Moscow State University - Research Computing Center,T-Platforms,Russia,2011,Academic,78660,29820,902,1700,2150399,,2,2800,Submitted,0,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2070,6,Xeon 5600-series (Westmere-EP),T-Platforms T-Blade2,T-Platforms Cluster,Infiniband,Infiniband,Eastern Europe,Europe
165,133,45,79,SERC,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","Supercomputer Education and Research Centre (SERC), Indian Institute of Science",Cray Inc.,India,2015,Academic,31104,,902,1244,3245184,,,608,Derived,1,MPP,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Cray Linux Environment ,Linux,None,12,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,South-central Asia,Asia
166,134,39,102,,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Rensselaer Polytechnic Institute,IBM,United States,2012,Academic,81920,,894,1049,,,,411,Submitted,2,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
167,135,48,135,,"Cluster Platform DL360, Xeon E5-2673v3 12C 2.4GHz, Infiniband FDR",Software Company (M),HPE,United States,2016,Industry,32400,,893,1244,,,,1080,Derived,1,Cluster,Xeon E5-2673v3 12C 2.4GHz,Intel Haswell,2400,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform DL360,HP Cluster Platform 3000,Infiniband,Infiniband FDR,North America,Americas
168,136,48,136,,"Lenovo RD450, Xeon E5-2697v3 14C 2.6GHz, 10G Ethernet",Internet Service (S),Lenovo,China,2016,Industry,53200,,881,2213,4270848,,,1425,Derived,1,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),Lenovo RD450,Lenovo Cluster,10G,10G Ethernet,Eastern Asia,Asia
169,137,48,137,,"FusionServer XH620 V3 Cluster, Xeon E5-2650v3 10C 2.3GHz, 10G Ethernet",Internet Company A,Huawei,China,2016,Industry,49600,,876,1825,5120000,,,930,Submitted,1,Cluster,Xeon E5-2650v3 10C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,10,Intel Xeon E5 (Haswell),FusionServer XH620 V3 Cluster,Huawei Cluster,10G,10G Ethernet,Eastern Asia,Asia
170,,49,170,,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,44800,,874,1792,4387000,,,672,Derived,1,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia
171,,49,171,Inspur TS10000 HPC Cluster System,"Inspur TS10000, Xeon E5-2682v4 16C 2.5GHz, 10G Ethernet",Internet Service A,Inspur,China,2017,Industry,44800,,874,1792,4387000,,,672,Derived,1,Cluster,Xeon E5-2682v4 16C 2.5GHz,Intel Broadwell,2500,CentOS,Linux,None,16,Intel Xeon E5 (Broadwell),Inspur TS10000,Inspur Cluster,10G,10G Ethernet,Eastern Asia,Asia
172,155,41,115,Palmetto2,"HP SL250s Gen8/Lenovo NX360M5, Dell C4130, Xeon E5-2665 8C 2.4GHz/E5-2670v2, Infiniband FDR, Nvidia K20m/K40/K20/P100",Clemson University,HPE,United States,2013,Academic,23452,14776,870,1550,1641472,,,1124,Submitted,1,Cluster,Xeon E5-2665 8C 2.4GHz,Intel SandyBridge,2400,Linux,Linux,NVIDIA Tesla K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
173,138,48,138,,"Apollo 6000 XL230a, Xeon E5-2683 v4  16C 2.1GHz, 10G Ethernet",Retail,HPE,United States,2016,Industry,46080,,869,1548,,,,1908,Derived,0,Cluster,Xeon E5-2683 v4  16C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,16,Intel Xeon E5 (Broadwell),Apollo 6000 XL230a,HP Apollo,10G,10G Ethernet,North America,Americas
174,,49,174,,"Sugon TC6000, Xeon E5-2620v3 6C 2.4GHz, 10G Ethernet",Government,Sugon,China,2017,Government,45600,,863,1751,5046000,,,1700,Submitted,1,Cluster,Xeon E5-2620v3 6C 2.4GHz,Intel Haswell,2400,CentOS,Linux,None,6,Intel Xeon E5 (Haswell),Sugon TC6000,Sugon Cluster,10G,10G Ethernet,Eastern Asia,Asia
175,139,48,139,,"Cluster Platform 3000 BL460c Gen9/DL380, Xeon E5-2697v3/Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",Volvo Personvagnar AB,HPE,Sweden,2016,Industry,24624,,862,1024,3755136,,,1231,Derived,1,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,Northern Europe,Europe
176,,49,176,,"Cluster Platform DL360, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Software Company (M),HPE,United States,2017,Industry,40320,,859,1484,,,,806,Derived,1,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
177,,49,177,,"Cluster Platform DL360, Xeon E5-2673v4 20C 2.3GHz, 10G Ethernet",Software Company (M),HPE,United States,2017,Industry,40320,,859,1484,,,,806,Derived,1,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Cluster Platform DL360,HP Cluster Platform 3000,10G,10G Ethernet,North America,Americas
