metric,count
opcode,8
total instruction count,150187264
workitems,430336
operand sum,1.50187e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.65835e-09
barriers per instruction,6.65835e-09
instructions per operand,1
total memory footprint,230912
90% memory footprint,14826
global memory address entropy,14.3546
local memory address entropy -- 1 LSBs skipped,14.3938
local memory address entropy -- 2 LSBs skipped,14.3938
local memory address entropy -- 3 LSBs skipped,13.4117
local memory address entropy -- 4 LSBs skipped,12.4081
local memory address entropy -- 5 LSBs skipped,11.4047
local memory address entropy -- 6 LSBs skipped,10.4076
local memory address entropy -- 7 LSBs skipped,9.87633
local memory address entropy -- 8 LSBs skipped,9.36035
local memory address entropy -- 9 LSBs skipped,8.8436
local memory address entropy -- 10 LSBs skipped,8.30018
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
