metric,count
opcode,10
total instruction count,23278592
workitems,8128
operand sum,2.32786e+07
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,4.29579e-08
barriers per instruction,4.29579e-08
instructions per operand,1
total memory footprint,65160
90% memory footprint,50811
global memory address entropy,14.4588
local memory address entropy -- 1 LSBs skipped,14.4622
local memory address entropy -- 2 LSBs skipped,14.4622
local memory address entropy -- 3 LSBs skipped,13.4784
local memory address entropy -- 4 LSBs skipped,12.5072
local memory address entropy -- 5 LSBs skipped,11.5612
local memory address entropy -- 6 LSBs skipped,10.6704
local memory address entropy -- 7 LSBs skipped,10.6704
local memory address entropy -- 8 LSBs skipped,10.6704
local memory address entropy -- 9 LSBs skipped,10.6704
local memory address entropy -- 10 LSBs skipped,10.6704
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218948
