metric,count
opcode,1
total instruction count,5628761344
workitems,16128256
operand sum,5.62876e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.77659e-10
barriers per instruction,1.77659e-10
instructions per operand,1
total memory footprint,8160512
90% memory footprint,90762
global memory address entropy,15.5834
local memory address entropy -- 1 LSBs skipped,16.0956
local memory address entropy -- 2 LSBs skipped,16.0956
local memory address entropy -- 3 LSBs skipped,15.3138
local memory address entropy -- 4 LSBs skipped,15.4761
local memory address entropy -- 5 LSBs skipped,13.8879
local memory address entropy -- 6 LSBs skipped,13.2327
local memory address entropy -- 7 LSBs skipped,12.6146
local memory address entropy -- 8 LSBs skipped,12.0955
local memory address entropy -- 9 LSBs skipped,11.5989
local memory address entropy -- 10 LSBs skipped,11.0446
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
