metric,count
opcode,8
total instruction count,2202240256
workitems,6310144
operand sum,2.20224e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,4.54083e-10
barriers per instruction,4.54083e-10
instructions per operand,1
total memory footprint,3215360
90% memory footprint,56772
global memory address entropy,16
local memory address entropy -- 1 LSBs skipped,16.7383
local memory address entropy -- 2 LSBs skipped,16.7383
local memory address entropy -- 3 LSBs skipped,15.4997
local memory address entropy -- 4 LSBs skipped,14.5103
local memory address entropy -- 5 LSBs skipped,13.5155
local memory address entropy -- 6 LSBs skipped,12.4829
local memory address entropy -- 7 LSBs skipped,11.932
local memory address entropy -- 8 LSBs skipped,11.4052
local memory address entropy -- 9 LSBs skipped,10.8636
local memory address entropy -- 10 LSBs skipped,10.3131
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
