metric,count
opcode,8
total instruction count,2461963264
workitems,7054336
operand sum,2.46196e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,4.0618e-10
barriers per instruction,4.0618e-10
instructions per operand,1
total memory footprint,3590912
90% memory footprint,60026
global memory address entropy,15.0159
local memory address entropy -- 1 LSBs skipped,15.9611
local memory address entropy -- 2 LSBs skipped,15.9611
local memory address entropy -- 3 LSBs skipped,15.6605
local memory address entropy -- 4 LSBs skipped,14.6317
local memory address entropy -- 5 LSBs skipped,13.4983
local memory address entropy -- 6 LSBs skipped,12.5242
local memory address entropy -- 7 LSBs skipped,12.0226
local memory address entropy -- 8 LSBs skipped,11.4799
local memory address entropy -- 9 LSBs skipped,10.9411
local memory address entropy -- 10 LSBs skipped,10.4337
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
