metric,count
opcode,8
total instruction count,1751142400
workitems,5017600
operand sum,1.75114e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,5.71056e-10
barriers per instruction,5.71056e-10
instructions per operand,1
total memory footprint,2562560
90% memory footprint,50624
global memory address entropy,16
local memory address entropy -- 1 LSBs skipped,16.5185
local memory address entropy -- 2 LSBs skipped,16.5185
local memory address entropy -- 3 LSBs skipped,15.1327
local memory address entropy -- 4 LSBs skipped,14.233
local memory address entropy -- 5 LSBs skipped,13.2449
local memory address entropy -- 6 LSBs skipped,12.2621
local memory address entropy -- 7 LSBs skipped,11.7534
local memory address entropy -- 8 LSBs skipped,11.2212
local memory address entropy -- 9 LSBs skipped,10.6937
local memory address entropy -- 10 LSBs skipped,10.1432
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
