metric,count
opcode,8
total instruction count,4482924544
workitems,12845056
operand sum,4.48292e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.23069e-10
barriers per instruction,2.23069e-10
instructions per operand,1
total memory footprint,6508544
90% memory footprint,80999
global memory address entropy,15.4102
local memory address entropy -- 1 LSBs skipped,16.3697
local memory address entropy -- 2 LSBs skipped,16.3697
local memory address entropy -- 3 LSBs skipped,15.1774
local memory address entropy -- 4 LSBs skipped,15.0707
local memory address entropy -- 5 LSBs skipped,14.0793
local memory address entropy -- 6 LSBs skipped,12.9244
local memory address entropy -- 7 LSBs skipped,12.4926
local memory address entropy -- 8 LSBs skipped,11.9458
local memory address entropy -- 9 LSBs skipped,11.4083
local memory address entropy -- 10 LSBs skipped,10.8837
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
