metric,count
opcode,10
total instruction count,5682176
workitems,1984
operand sum,5.68218e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.75989e-07
barriers per instruction,1.75989e-07
instructions per operand,1
total memory footprint,16008
90% memory footprint,12506
global memory address entropy,12.9505
local memory address entropy -- 1 LSBs skipped,12.9504
local memory address entropy -- 2 LSBs skipped,12.9504
local memory address entropy -- 3 LSBs skipped,11.967
local memory address entropy -- 4 LSBs skipped,10.9952
local memory address entropy -- 5 LSBs skipped,10.0502
local memory address entropy -- 6 LSBs skipped,9.15979
local memory address entropy -- 7 LSBs skipped,9.15979
local memory address entropy -- 8 LSBs skipped,9.15979
local memory address entropy -- 9 LSBs skipped,9.15979
local memory address entropy -- 10 LSBs skipped,9.15979
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218929
