metric,count
opcode,8
total instruction count,4129926400
workitems,11833600
operand sum,4.12993e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.42135e-10
barriers per instruction,2.42135e-10
instructions per operand,1
total memory footprint,5999360
90% memory footprint,77744
global memory address entropy,15.3794
local memory address entropy -- 1 LSBs skipped,16.291
local memory address entropy -- 2 LSBs skipped,16.291
local memory address entropy -- 3 LSBs skipped,16.5347
local memory address entropy -- 4 LSBs skipped,14.9058
local memory address entropy -- 5 LSBs skipped,13.9598
local memory address entropy -- 6 LSBs skipped,12.9867
local memory address entropy -- 7 LSBs skipped,12.3875
local memory address entropy -- 8 LSBs skipped,11.8752
local memory address entropy -- 9 LSBs skipped,11.3335
local memory address entropy -- 10 LSBs skipped,10.8251
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
