metric,count
opcode,8
total instruction count,97295616
workitems,278784
operand sum,9.72956e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.0278e-08
barriers per instruction,1.0278e-08
instructions per operand,1
total memory footprint,152064
90% memory footprint,11933
global memory address entropy,14.0238
local memory address entropy -- 1 LSBs skipped,14.0565
local memory address entropy -- 2 LSBs skipped,14.0565
local memory address entropy -- 3 LSBs skipped,13.082
local memory address entropy -- 4 LSBs skipped,12.0771
local memory address entropy -- 5 LSBs skipped,11.0751
local memory address entropy -- 6 LSBs skipped,10.0763
local memory address entropy -- 7 LSBs skipped,9.5452
local memory address entropy -- 8 LSBs skipped,9.03221
local memory address entropy -- 9 LSBs skipped,8.51869
local memory address entropy -- 10 LSBs skipped,8.00523
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
