metric,count
opcode,8
total instruction count,4523040000
workitems,12960000
operand sum,4.52304e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.2109e-10
barriers per instruction,2.2109e-10
instructions per operand,1
total memory footprint,6566400
90% memory footprint,81360
global memory address entropy,15.4493
local memory address entropy -- 1 LSBs skipped,16.3726
local memory address entropy -- 2 LSBs skipped,16.3726
local memory address entropy -- 3 LSBs skipped,15.1791
local memory address entropy -- 4 LSBs skipped,15.0892
local memory address entropy -- 5 LSBs skipped,14.0943
local memory address entropy -- 6 LSBs skipped,12.9391
local memory address entropy -- 7 LSBs skipped,12.4977
local memory address entropy -- 8 LSBs skipped,11.9572
local memory address entropy -- 9 LSBs skipped,11.4224
local memory address entropy -- 10 LSBs skipped,10.898
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
