metric,count
opcode,8
total instruction count,4363650304
workitems,12503296
operand sum,4.36365e+09
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.29166e-10
barriers per instruction,2.29166e-10
instructions per operand,1
total memory footprint,6336512
90% memory footprint,79914
global memory address entropy,15.4035
local memory address entropy -- 1 LSBs skipped,16.3302
local memory address entropy -- 2 LSBs skipped,16.3302
local memory address entropy -- 3 LSBs skipped,16.7003
local memory address entropy -- 4 LSBs skipped,15.0156
local memory address entropy -- 5 LSBs skipped,14.0594
local memory address entropy -- 6 LSBs skipped,13.03
local memory address entropy -- 7 LSBs skipped,12.465
local memory address entropy -- 8 LSBs skipped,11.9197
local memory address entropy -- 9 LSBs skipped,11.3906
local memory address entropy -- 10 LSBs skipped,10.8414
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
