metric,count
opcode,8
total instruction count,47262976
workitems,135424
operand sum,4.7263e+07
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.11582e-08
barriers per instruction,2.11582e-08
instructions per operand,1
total memory footprint,76544
90% memory footprint,8317
global memory address entropy,13.5028
local memory address entropy -- 1 LSBs skipped,13.5147
local memory address entropy -- 2 LSBs skipped,13.5147
local memory address entropy -- 3 LSBs skipped,12.5255
local memory address entropy -- 4 LSBs skipped,11.5232
local memory address entropy -- 5 LSBs skipped,10.5246
local memory address entropy -- 6 LSBs skipped,9.52388
local memory address entropy -- 7 LSBs skipped,8.99471
local memory address entropy -- 8 LSBs skipped,8.43726
local memory address entropy -- 9 LSBs skipped,7.85625
local memory address entropy -- 10 LSBs skipped,7.48797
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
