metric,count
opcode,10
total instruction count,1832960
workitems,640
operand sum,1.83296e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,5.45566e-07
barriers per instruction,5.45566e-07
instructions per operand,1
total memory footprint,5256
90% memory footprint,4127
global memory address entropy,11.7388
local memory address entropy -- 1 LSBs skipped,11.7391
local memory address entropy -- 2 LSBs skipped,11.7391
local memory address entropy -- 3 LSBs skipped,10.7551
local memory address entropy -- 4 LSBs skipped,9.78319
local memory address entropy -- 5 LSBs skipped,8.83836
local memory address entropy -- 6 LSBs skipped,7.94783
local memory address entropy -- 7 LSBs skipped,7.94783
local memory address entropy -- 8 LSBs skipped,7.94783
local memory address entropy -- 9 LSBs skipped,7.94783
local memory address entropy -- 10 LSBs skipped,7.94783
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218875
