metric,count
opcode,8
total instruction count,660788224
workitems,1893376
operand sum,6.60788e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.51334e-09
barriers per instruction,1.51334e-09
instructions per operand,1
total memory footprint,979712
90% memory footprint,31098
global memory address entropy,15.94
local memory address entropy -- 1 LSBs skipped,15.7655
local memory address entropy -- 2 LSBs skipped,15.7655
local memory address entropy -- 3 LSBs skipped,14.5455
local memory address entropy -- 4 LSBs skipped,13.5488
local memory address entropy -- 5 LSBs skipped,12.5452
local memory address entropy -- 6 LSBs skipped,11.5444
local memory address entropy -- 7 LSBs skipped,11.0042
local memory address entropy -- 8 LSBs skipped,10.4873
local memory address entropy -- 9 LSBs skipped,9.94953
local memory address entropy -- 10 LSBs skipped,9.39149
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
