metric,count
opcode,10
total instruction count,1008128
workitems,352
operand sum,1.00813e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,9.91938e-07
barriers per instruction,9.91938e-07
instructions per operand,1
total memory footprint,2952
90% memory footprint,2331
global memory address entropy,11.0989
local memory address entropy -- 1 LSBs skipped,11.0987
local memory address entropy -- 2 LSBs skipped,11.0987
local memory address entropy -- 3 LSBs skipped,10.1149
local memory address entropy -- 4 LSBs skipped,9.14287
local memory address entropy -- 5 LSBs skipped,8.19799
local memory address entropy -- 6 LSBs skipped,7.30748
local memory address entropy -- 7 LSBs skipped,7.30748
local memory address entropy -- 8 LSBs skipped,7.30748
local memory address entropy -- 9 LSBs skipped,7.30748
local memory address entropy -- 10 LSBs skipped,7.30748
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.21881
