metric,count
opcode,8
total instruction count,502560000
workitems,1440000
operand sum,5.0256e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.98981e-09
barriers per instruction,1.98981e-09
instructions per operand,1
total memory footprint,748800
90% memory footprint,27120
global memory address entropy,15.3233
local memory address entropy -- 1 LSBs skipped,15.3222
local memory address entropy -- 2 LSBs skipped,15.3222
local memory address entropy -- 3 LSBs skipped,14.3593
local memory address entropy -- 4 LSBs skipped,13.3174
local memory address entropy -- 5 LSBs skipped,12.3256
local memory address entropy -- 6 LSBs skipped,11.3337
local memory address entropy -- 7 LSBs skipped,10.7996
local memory address entropy -- 8 LSBs skipped,10.2739
local memory address entropy -- 9 LSBs skipped,9.75432
local memory address entropy -- 10 LSBs skipped,9.24651
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
