metric,count
opcode,10
total instruction count,7331840
workitems,2560
operand sum,7.33184e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.36391e-07
barriers per instruction,1.36391e-07
instructions per operand,1
total memory footprint,20616
90% memory footprint,16097
global memory address entropy,13.2248
local memory address entropy -- 1 LSBs skipped,13.225
local memory address entropy -- 2 LSBs skipped,13.225
local memory address entropy -- 3 LSBs skipped,12.24
local memory address entropy -- 4 LSBs skipped,11.2682
local memory address entropy -- 5 LSBs skipped,10.3231
local memory address entropy -- 6 LSBs skipped,9.43273
local memory address entropy -- 7 LSBs skipped,9.43273
local memory address entropy -- 8 LSBs skipped,9.43271
local memory address entropy -- 9 LSBs skipped,9.43272
local memory address entropy -- 10 LSBs skipped,9.4327
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218934
