metric,count
opcode,8
total instruction count,630411264
workitems,1806336
operand sum,6.30411e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.58627e-09
barriers per instruction,1.58627e-09
instructions per operand,1
total memory footprint,935424
90% memory footprint,30375
global memory address entropy,15.8167
local memory address entropy -- 1 LSBs skipped,15.6814
local memory address entropy -- 2 LSBs skipped,15.6814
local memory address entropy -- 3 LSBs skipped,14.4659
local memory address entropy -- 4 LSBs skipped,13.5075
local memory address entropy -- 5 LSBs skipped,12.4855
local memory address entropy -- 6 LSBs skipped,11.5063
local memory address entropy -- 7 LSBs skipped,10.9713
local memory address entropy -- 8 LSBs skipped,10.4487
local memory address entropy -- 9 LSBs skipped,9.92482
local memory address entropy -- 10 LSBs skipped,9.3733
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
