metric,count
opcode,8
total instruction count,615490816
workitems,1763584
operand sum,6.15491e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.62472e-09
barriers per instruction,1.62472e-09
instructions per operand,1
total memory footprint,913664
90% memory footprint,30013
global memory address entropy,15.7615
local memory address entropy -- 1 LSBs skipped,15.635
local memory address entropy -- 2 LSBs skipped,15.635
local memory address entropy -- 3 LSBs skipped,14.4391
local memory address entropy -- 4 LSBs skipped,13.4698
local memory address entropy -- 5 LSBs skipped,12.4986
local memory address entropy -- 6 LSBs skipped,11.48
local memory address entropy -- 7 LSBs skipped,10.9527
local memory address entropy -- 8 LSBs skipped,10.4293
local memory address entropy -- 9 LSBs skipped,9.90868
local memory address entropy -- 10 LSBs skipped,9.3622
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
