metric,count
opcode,8
total instruction count,165197056
workitems,473344
operand sum,1.65197e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,6.05338e-09
barriers per instruction,6.05338e-09
instructions per operand,1
total memory footprint,253184
90% memory footprint,15549
global memory address entropy,14.5464
local memory address entropy -- 1 LSBs skipped,14.5034
local memory address entropy -- 2 LSBs skipped,14.5034
local memory address entropy -- 3 LSBs skipped,13.4893
local memory address entropy -- 4 LSBs skipped,12.4893
local memory address entropy -- 5 LSBs skipped,11.4757
local memory address entropy -- 6 LSBs skipped,10.4812
local memory address entropy -- 7 LSBs skipped,9.95002
local memory address entropy -- 8 LSBs skipped,9.43002
local memory address entropy -- 9 LSBs skipped,8.91919
local memory address entropy -- 10 LSBs skipped,8.4309
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
