metric,count
opcode,10
total instruction count,6415360
workitems,2240
operand sum,6.41536e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.55876e-07
barriers per instruction,1.55876e-07
instructions per operand,1
total memory footprint,18056
90% memory footprint,14102
global memory address entropy,13.0799
local memory address entropy -- 1 LSBs skipped,13.0811
local memory address entropy -- 2 LSBs skipped,13.0811
local memory address entropy -- 3 LSBs skipped,12.097
local memory address entropy -- 4 LSBs skipped,11.125
local memory address entropy -- 5 LSBs skipped,10.1802
local memory address entropy -- 6 LSBs skipped,9.28972
local memory address entropy -- 7 LSBs skipped,9.28972
local memory address entropy -- 8 LSBs skipped,9.28972
local memory address entropy -- 9 LSBs skipped,9.28972
local memory address entropy -- 10 LSBs skipped,9.28972
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218932
