metric,count
opcode,10
total instruction count,1099776
workitems,384
operand sum,1.09978e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,9.09276e-07
barriers per instruction,9.09276e-07
instructions per operand,1
total memory footprint,6400
90% memory footprint,5251
global memory address entropy,12.2164
local memory address entropy -- 1 LSBs skipped,12.2163
local memory address entropy -- 2 LSBs skipped,12.2163
local memory address entropy -- 3 LSBs skipped,11.2162
local memory address entropy -- 4 LSBs skipped,10.2166
local memory address entropy -- 5 LSBs skipped,9.51978
local memory address entropy -- 6 LSBs skipped,8.73373
local memory address entropy -- 7 LSBs skipped,8.07799
local memory address entropy -- 8 LSBs skipped,7.50353
local memory address entropy -- 9 LSBs skipped,6.91722
local memory address entropy -- 10 LSBs skipped,6.2809
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218802
