metric,count
opcode,8
total instruction count,7236864
workitems,20736
operand sum,7.23686e+06
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.38181e-07
barriers per instruction,1.38181e-07
instructions per operand,1
total memory footprint,25344
90% memory footprint,4407
global memory address entropy,12.6236
local memory address entropy -- 1 LSBs skipped,12.6214
local memory address entropy -- 2 LSBs skipped,12.6214
local memory address entropy -- 3 LSBs skipped,11.6215
local memory address entropy -- 4 LSBs skipped,10.6194
local memory address entropy -- 5 LSBs skipped,9.87231
local memory address entropy -- 6 LSBs skipped,9.02024
local memory address entropy -- 7 LSBs skipped,8.32232
local memory address entropy -- 8 LSBs skipped,7.74791
local memory address entropy -- 9 LSBs skipped,7.24318
local memory address entropy -- 10 LSBs skipped,6.5879
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
