metric,count
opcode,8
total instruction count,489247744
workitems,1401856
operand sum,4.89248e+08
total # of barriers hit,0
min instructions to barrier,349
max instructions to barrier,349
median instructions to barrier,349
min instructions executed by a work-item,349
max instructions executed by a work-item,349
median instructions executed by a work-item,349
max simd width,1
mean simd width,1
stdev simd width,0
granularity,2.04395e-09
barriers per instruction,2.04395e-09
instructions per operand,1
total memory footprint,1439744
90% memory footprint,36231
global memory address entropy,15.7277
local memory address entropy -- 1 LSBs skipped,13.8847
local memory address entropy -- 2 LSBs skipped,13.8847
local memory address entropy -- 3 LSBs skipped,13.8847
local memory address entropy -- 4 LSBs skipped,13.8847
local memory address entropy -- 5 LSBs skipped,13.0532
local memory address entropy -- 6 LSBs skipped,12.2785
local memory address entropy -- 7 LSBs skipped,11.752
local memory address entropy -- 8 LSBs skipped,11.0061
local memory address entropy -- 9 LSBs skipped,10.3763
local memory address entropy -- 10 LSBs skipped,9.81087
total unique branch instructions,1
90% branch instructions,1
branch entropy (yokota),4
branch entropy (average linear),0.117647
