metric,count
opcode,10
total instruction count,2841088
workitems,992
operand sum,2.84109e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,3.51978e-07
barriers per instruction,3.51978e-07
instructions per operand,1
total memory footprint,16128
90% memory footprint,13158
global memory address entropy,13.2373
local memory address entropy -- 1 LSBs skipped,11.2981
local memory address entropy -- 2 LSBs skipped,11.2981
local memory address entropy -- 3 LSBs skipped,11.2981
local memory address entropy -- 4 LSBs skipped,11.2981
local memory address entropy -- 5 LSBs skipped,10.4786
local memory address entropy -- 6 LSBs skipped,9.84983
local memory address entropy -- 7 LSBs skipped,8.8657
local memory address entropy -- 8 LSBs skipped,8.47636
local memory address entropy -- 9 LSBs skipped,8.08223
local memory address entropy -- 10 LSBs skipped,7.69079
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218895
