metric,count
opcode,10
total instruction count,7423488
workitems,2592
operand sum,7.42349e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.34708e-07
barriers per instruction,1.34708e-07
instructions per operand,1
total memory footprint,41728
90% memory footprint,33967
global memory address entropy,14.2725
local memory address entropy -- 1 LSBs skipped,12.3341
local memory address entropy -- 2 LSBs skipped,12.3341
local memory address entropy -- 3 LSBs skipped,12.3341
local memory address entropy -- 4 LSBs skipped,12.3341
local memory address entropy -- 5 LSBs skipped,11.5155
local memory address entropy -- 6 LSBs skipped,10.8962
local memory address entropy -- 7 LSBs skipped,9.91082
local memory address entropy -- 8 LSBs skipped,9.53619
local memory address entropy -- 9 LSBs skipped,9.15491
local memory address entropy -- 10 LSBs skipped,8.72617
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218932
