metric,count
opcode,10
total instruction count,6965248
workitems,2432
operand sum,6.96525e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,1.4357e-07
barriers per instruction,1.4357e-07
instructions per operand,1
total memory footprint,39168
90% memory footprint,31886
global memory address entropy,14.2025
local memory address entropy -- 1 LSBs skipped,12.2657
local memory address entropy -- 2 LSBs skipped,12.2657
local memory address entropy -- 3 LSBs skipped,12.2657
local memory address entropy -- 4 LSBs skipped,12.2657
local memory address entropy -- 5 LSBs skipped,11.4466
local memory address entropy -- 6 LSBs skipped,10.827
local memory address entropy -- 7 LSBs skipped,10.4519
local memory address entropy -- 8 LSBs skipped,9.76704
local memory address entropy -- 9 LSBs skipped,9.23061
local memory address entropy -- 10 LSBs skipped,8.75571
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.21893
