metric,count
opcode,10
total instruction count,2749440
workitems,960
operand sum,2.74944e+06
total # of barriers hit,0
min instructions to barrier,2520
max instructions to barrier,3208
median instructions to barrier,2864
min instructions executed by a work-item,2520
max instructions executed by a work-item,3208
median instructions executed by a work-item,2864
max simd width,1
mean simd width,1
stdev simd width,0
granularity,3.6371e-07
barriers per instruction,3.6371e-07
instructions per operand,1
total memory footprint,15616
90% memory footprint,12742
global memory address entropy,13.203
local memory address entropy -- 1 LSBs skipped,11.2628
local memory address entropy -- 2 LSBs skipped,11.2628
local memory address entropy -- 3 LSBs skipped,11.2628
local memory address entropy -- 4 LSBs skipped,11.2628
local memory address entropy -- 5 LSBs skipped,10.4431
local memory address entropy -- 6 LSBs skipped,9.81403
local memory address entropy -- 7 LSBs skipped,9.42586
local memory address entropy -- 8 LSBs skipped,8.73479
local memory address entropy -- 9 LSBs skipped,8.19057
local memory address entropy -- 10 LSBs skipped,7.72859
total unique branch instructions,5
90% branch instructions,3
branch entropy (yokota),85.282
branch entropy (average linear),0.218893
